PID,Title,Info.type,Source.in.paper,Task.variable.decoded,Accuracy.50,Accuracy.other,Num_classes,Significance,Roi.Search,Pattern.type,Classifier.type,Classifier.Fitted,Scanner,Resolution,Smoothing,Coregistration,Movement.Correction,Pattern.normalization.type,Num_subs,Talairach.Coordinates,MNI.Coordinates,Coordinate.Space,ROI.Atlas,BA,AAL,Desikan,OxHarvard,Destrieux,Unkown Atlas,Method.of.Assigning.Region,Region.name,Notes.Double.Check,Chris.Double.Check,Notes,Notes Region
3,Choosing the Rules: Distinct and Overlapping Frontoparietal Representations of Task Rules for Perceptual Decisions,Rule,Figure 4 B,which of 3 stimulus dimensions the participant intended to use for the rule,,0.39,3,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3.75mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,20,,"-45,29,28;45,32,28",MNI,,,,,,,,coordinate transfer,DLPFC,,,,
3,Choosing the Rules: Distinct and Overlapping Frontoparietal Representations of Task Rules for Perceptual Decisions,Rule,Figure 4 B,which of 3 stimulus dimensions the participant intended to use for the rule,,0.39,3,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3.75mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,20,,"-45,2,34;45,2,37",MNI,,,,,,,,coordinate transfer,PMv,,,,
3,Choosing the Rules: Distinct and Overlapping Frontoparietal Representations of Task Rules for Perceptual Decisions,Rule,Figure 4 B,which of 3 stimulus dimensions the participant intended to use for the rule,,0.39,3,1,ROI,Single Trial Multi-Time Point,svm-lin,0,3T,3mmx3mmx3.75mm,unsmooth,Native Space,Movement Correction,Normalized Spatially,20,,"-45,2,34;45,2,37",MNI,,,,,,,,coordinate transfer,PMv,,,,
37,Ubiquity and specificity of reinforcement signals throughout the human brain.,Value,?,wins/loss/tie,,0.39,3,1,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,3.5mmx3.5mmx4mm,unsmooth,Native Space,Movement Correction,Normalized Temporally,22,,,,Desikan,,,Caudal Mid Frontal,,,,atlas comparison,Caudal Mid Frontal_ Freesurfer's _ _ http://surfer.nmr.mgh.harvard.edu/ automated cortical labeling_,,,,
37,Ubiquity and specificity of reinforcement signals throughout the human brain.,Value,?,wins/loss/tie,,0.39,3,1,ROI,Multi-Trial Multi-Time Point,svm-lin,0,3T,3.5mmx3.5mmx4mm,unsmooth,Native Space,Movement Correction,Normalized Temporally,22,,,,Desikan,,,Rostral Mid Frontal,,,,atlas comparison,Rostral Mid Frontal,,,,
35,Distributed and Dynamic Storage of Working Memory Stimulus Information in Extrastriate Cortex,Rule,?,"task condition Remember Faces, Remember Scenes, Remember Both",,0.4,3,1,ROI,Single Trial Single-Time Point,LogReg,0,4T,"5mm slice, 64x64, FOV=224",unsmooth,Native Space,Movement Correction,Normalized Temporally,49,,,,unkown,,,,,,lPFC,name similarity,"lPFC mean size = 1680 voxels, SEM = 35 voxels was defined by combining the unthresholded templates of bilateral middle frontal gyrus and bilateral inferior frontal gyrus from the Harvard_Oxford Probabilistic Brain Atlas FSL; provided by the Harvard Center for Morphometric Analysisdefined on MNI 152, transformed into native space. bilateral middfle frontal gyrus + bilateral inferior frontal gyrus. Harvard-Oxford probablistic atlas",,,,
44,He Who Is Well Prepared Has Half Won The Battle: An fMRI Study of Task Preparation.,Rule,Table 1,"which n-back task they were anticipating (instructions) n=1,2,3",,0.41,3,1,ROI,Single Trial Single-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,smoothed,Native Space,Movement Correction,None,19,,"-40,8,26",MNI,,,,,,,,coordinate transfer,L Inferior frontal gyrus IFG,,1,,
44,He Who Is Well Prepared Has Half Won The Battle: An fMRI Study of Task Preparation.,Rule,Table 1,"which n-back task they were anticipating (instructions) n=1,2,3",,0.41,3,1,ROI,Single Trial Single-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,smoothed,Native Space,Movement Correction,None,19,,"36,36,-16",MNI,,,,,,,,coordinate transfer,R Frontal pole,,1,,
44,He Who Is Well Prepared Has Half Won The Battle: An fMRI Study of Task Preparation.,Rule,Table 1,"which n-back task they were anticipating (instructions) n=1,2,3",,0.41,3,1,ROI,Single Trial Single-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,smoothed,Native Space,Movement Correction,None,19,,"44,34,38",MNI,,,,,,,,coordinate transfer,R Middle frontal gyrus MFG,,1,,
44,He Who Is Well Prepared Has Half Won The Battle: An fMRI Study of Task Preparation.,Rule,Table 1,"which n-back task they were anticipating (instructions) n=1,2,3",,0.43,3,1,ROI,Single Trial Single-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,smoothed,Native Space,Movement Correction,None,19,,"-32,24,-6",MNI,,,,,,,,coordinate transfer,L Orbitofrontal cortex OFc,,1,,
44,He Who Is Well Prepared Has Half Won The Battle: An fMRI Study of Task Preparation.,Rule,Table 1,"which n-back task they were anticipating (instructions) n=1,2,3",,0.43,3,1,ROI,Single Trial Single-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,smoothed,Native Space,Movement Correction,None,19,,"28,12,60",MNI,,,,,,,,coordinate transfer,R Superior frontal gyrus SFG,,1,,
44,He Who Is Well Prepared Has Half Won The Battle: An fMRI Study of Task Preparation.,Rule,Table 1,"which n-back task they were performing (task) n=1,2,3",,0.44,3,1,ROI,Single Trial Single-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,smoothed,Native Space,Movement Correction,None,19,,"36,36,-16",MNI,,,,,,,,coordinate transfer,R Frontal pole,,1,,
4,Temporary Activation of Long-Term Memory Supports Working Memory,Perceptual,?,which category the stimulus matched,,0.45,3,0,ROI,Single Trial Single-Time Point,neural-net,0,3T,3.75mmx3.75x4mm,unsmooth,coregistered,Movement Correction,Normalized Temporally,8,,"-6,8,55;9,8,49;-39,-4,49;48,-1,46;-39,35,31;36,26,40;-45,8,37;51,2,43",MNI,,,,,,,,coordinate transfer,"pre-SMA,PMD,LPFC, IFJ",,,,
44,He Who Is Well Prepared Has Half Won The Battle: An fMRI Study of Task Preparation.,Rule,Table 1,"which n-back task they were anticipating (instructions) n=1,2,3",,0.45,3,1,ROI,Single Trial Single-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,smoothed,Native Space,Movement Correction,None,19,,"-48,36,22",MNI,,,,,,,,coordinate transfer,L Middle frontal gyrus MFG,,1,,
40,Goal-directed attention alters the tuning of object-based representations in extrastriate cortex.,Rule,"paragraph heading ""Confirmation of information encoding""",attentional rule/condition selective face vs selective scenes vs nonselective,,0.46,3,1,ROI,Single Trial Multi-Time Point,neural-net,0,4T,3.5mmx3.5mmx5mm,unsmooth,Native Space,Movement Correction,Normalized Temporally,20,,,,BA,10,,,,,,atlas comparison,BA 10: frontopolar R,,1,,
44,He Who Is Well Prepared Has Half Won The Battle: An fMRI Study of Task Preparation.,Rule,Table 1,"which n-back task they were anticipating (instructions) n=1,2,3",,0.46,3,1,ROI,Single Trial Single-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,smoothed,Native Space,Movement Correction,None,19,,"42,48,22",MNI,,,,,,,,coordinate transfer,R Frontal pole FP,,1,,
44,He Who Is Well Prepared Has Half Won The Battle: An fMRI Study of Task Preparation.,Rule,Table 1,"which n-back task they were anticipating (instructions) n=1,2,3",,0.47,3,1,ROI,Single Trial Single-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,smoothed,Native Space,Movement Correction,None,19,,"-38,56,10",MNI,,,,,,,,coordinate transfer,L Frontal pole FP,,1,,
44,He Who Is Well Prepared Has Half Won The Battle: An fMRI Study of Task Preparation.,Rule,Table 1,"which n-back task they were performing (task) n=1,2,3",,0.47,3,1,ROI,Single Trial Single-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,smoothed,Native Space,Movement Correction,None,19,,"-40,8,26",MNI,,,,,,,,coordinate transfer,L Inferior frontal gyrus IFG,,1,,
44,He Who Is Well Prepared Has Half Won The Battle: An fMRI Study of Task Preparation.,Rule,Table 1,"which n-back task they were performing (task) n=1,2,3",,0.47,3,1,ROI,Single Trial Single-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,smoothed,Native Space,Movement Correction,None,19,,"-32,24,-6",MNI,,,,,,,,coordinate transfer,L Orbitofrontal cortex OFc,,1,,
44,He Who Is Well Prepared Has Half Won The Battle: An fMRI Study of Task Preparation.,Rule,Table 1,"which n-back task they were performing (task) n=1,2,3",,0.47,3,1,ROI,Single Trial Single-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,smoothed,Native Space,Movement Correction,None,19,,"44,34,38",MNI,,,,,,,,coordinate transfer,R Middle frontal gyrus MFG,,1,,
40,Goal-directed attention alters the tuning of object-based representations in extrastriate cortex.,Rule,"paragraph heading ""Confirmation of information encoding""",attentional rule/condition selective face vs selective scenes vs nonselective,,0.48,3,1,ROI,Single Trial Multi-Time Point,neural-net,0,4T,3.5mmx3.5mmx5mm,unsmooth,Native Space,Movement Correction,Normalized Temporally,20,,,,BA,"45,47",,,,,,atlas comparison,BA 45 and 47,"note misclassification rate for the graph is not relevant.. XXX; the language for classification is slightly confusing.. APOORVA READ PARAGRAPH. "" But I'm 95% sure this is standard 3 class classificaiton atttempt.. ",1,,
44,He Who Is Well Prepared Has Half Won The Battle: An fMRI Study of Task Preparation.,Rule,Table 1,"which n-back task they were anticipating (instructions) n=1,2,3",,0.48,3,1,ROI,Single Trial Single-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,smoothed,Native Space,Movement Correction,None,19,,"-2,22,42",MNI,,,,,,,,coordinate transfer,L Anterior cingulate cortex ACC/paracingulate gyru,,1,,
44,He Who Is Well Prepared Has Half Won The Battle: An fMRI Study of Task Preparation.,Rule,Table 1,"which n-back task they were anticipating (instructions) n=1,2,3",,0.48,3,1,ROI,Single Trial Single-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,smoothed,Native Space,Movement Correction,None,19,,"-2,54,-4",MNI,,,,,,,,coordinate transfer,L Anterior cingulate/medial frontal cortex,,1,,
44,He Who Is Well Prepared Has Half Won The Battle: An fMRI Study of Task Preparation.,Rule,Table 1,"which n-back task they were anticipating (instructions) n=1,2,3",,0.48,3,1,ROI,Single Trial Single-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,smoothed,Native Space,Movement Correction,None,19,,"-28,8,62",MNI,,,,,,,,coordinate transfer,L Superior frontal gyrus SFG,,1,,
40,Goal-directed attention alters the tuning of object-based representations in extrastriate cortex.,Rule,"paragraph heading ""Confirmation of information encoding""",attentional rule/condition selective face vs selective scenes vs nonselective,,0.49,3,1,ROI,Single Trial Multi-Time Point,neural-net,0,4T,3.5mmx3.5mmx5mm,unsmooth,Native Space,Movement Correction,Normalized Temporally,20,,,,BA,10,,,,,,atlas comparison,BA 10: frontopolar L,,1,,
40,Goal-directed attention alters the tuning of object-based representations in extrastriate cortex.,Rule,"paragraph heading ""Confirmation of information encoding""",attentional rule/condition selective face vs selective scenes vs nonselective,,0.49,3,1,ROI,Single Trial Multi-Time Point,neural-net,0,4T,3.5mmx3.5mmx5mm,unsmooth,Native Space,Movement Correction,Normalized Temporally,20,,,,BA,"45, 47",,,,,,atlas comparison,BA 45 and 47: ventrolateral PFC R,,1,,
44,He Who Is Well Prepared Has Half Won The Battle: An fMRI Study of Task Preparation.,Rule,Table 1,"which n-back task they were performing (task) n=1,2,3",,0.49,3,1,ROI,Single Trial Single-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,smoothed,Native Space,Movement Correction,None,19,,"-48,36,22",MNI,,,,,,,,coordinate transfer,L Middle frontal gyrus MFG,,1,,
44,He Who Is Well Prepared Has Half Won The Battle: An fMRI Study of Task Preparation.,Rule,Table 1,"which n-back task they were performing (task) n=1,2,3",,0.5,3,1,ROI,Single Trial Single-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,smoothed,Native Space,Movement Correction,None,19,,"28,12,60",MNI,,,,,,,,coordinate transfer,R Superior frontal gyrus SFG,,1,,
40,Goal-directed attention alters the tuning of object-based representations in extrastriate cortex.,Rule,"paragraph heading ""Confirmation of information encoding""",attentional rule/condition selective face vs selective scenes vs nonselective,,0.51,3,1,ROI,Single Trial Multi-Time Point,neural-net,0,4T,3.5mmx3.5mmx5mm,unsmooth,Native Space,Movement Correction,Normalized Temporally,20,,,,BA,"9,46",,,,,,atlas comparison,BA 9 and 46,,1,,
40,Goal-directed attention alters the tuning of object-based representations in extrastriate cortex.,Rule,"paragraph heading ""Confirmation of information encoding""",attentional rule/condition selective face vs selective scenes vs nonselective,,0.51,3,1,ROI,Single Trial Multi-Time Point,neural-net,0,4T,3.5mmx3.5mmx5mm,unsmooth,Native Space,Movement Correction,Normalized Temporally,20,,,,BA,"9,46",,,,,,atlas comparison,BA 9 and 46,,1,,
44,He Who Is Well Prepared Has Half Won The Battle: An fMRI Study of Task Preparation.,Rule,Table 1,"which n-back task they were performing (task) n=1,2,3",,0.52,3,1,ROI,Single Trial Single-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,smoothed,Native Space,Movement Correction,None,19,,"-2,54,-4",MNI,,,,,,,,coordinate transfer,L Anterior cingulate/medial frontal cortex,,1,,
44,He Who Is Well Prepared Has Half Won The Battle: An fMRI Study of Task Preparation.,Rule,Table 1,"which n-back task they were performing (task) n=1,2,3",,0.53,3,1,ROI,Single Trial Single-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,smoothed,Native Space,Movement Correction,None,19,,"-38,56,10",MNI,,,,,,,,coordinate transfer,L Frontal pole FP,,1,,
44,He Who Is Well Prepared Has Half Won The Battle: An fMRI Study of Task Preparation.,Rule,Table 1,"which n-back task they were performing (task) n=1,2,3",,0.53,3,1,ROI,Single Trial Single-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,smoothed,Native Space,Movement Correction,None,19,,"-28,8,62",MNI,,,,,,,,coordinate transfer,L Superior frontal gyrus SFG,,1,,
44,He Who Is Well Prepared Has Half Won The Battle: An fMRI Study of Task Preparation.,Rule,Table 1,"which n-back task they were performing (task) n=1,2,3",,0.54,3,1,ROI,Single Trial Single-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,smoothed,Native Space,Movement Correction,None,19,,"-2,22,42",MNI,,,,,,,,coordinate transfer,L Anterior cingulate cortex ACC/paracingulate gyru,,1,,
44,He Who Is Well Prepared Has Half Won The Battle: An fMRI Study of Task Preparation.,Rule,Table 1,"which n-back task they were performing (task) n=1,2,3",,0.54,3,1,ROI,Single Trial Single-Time Point,svm-lin,0,3T,3.2mmx3.2mmx3.2mm,smoothed,Native Space,Movement Correction,None,19,,"42,48,22",MNI,,,,,,,,coordinate transfer,R Frontal pole FP,,1,,
4,Temporary Activation of Long-Term Memory Supports Working Memory,Perceptual,Figure 2,which category the stimulus matched (locations),,0.55,3,1,ROI,Single Trial Single-Time Point,neural-net,0,3T,3.75mmx3.75x4mm,unsmooth,coregistered,Movement Correction,Normalized Temporally,10,,,,BA,"8, 11, 44, 46",,,,,,atlas comparison,"BA8, BA11, BA44, BA46_",,,,
4,Temporary Activation of Long-Term Memory Supports Working Memory,Perceptual,Figure 2,which category the stimulus matched (objects),,0.59,3,1,ROI,Single Trial Single-Time Point,neural-net,0,3T,3.75mmx3.75x4mm,unsmooth,coregistered,Movement Correction,Normalized Temporally,10,,,,BA,"8, 11, 44, 46",,,,,,atlas comparison,"BA8, BA11, BA44, BA46_",,,,
4,Temporary Activation of Long-Term Memory Supports Working Memory,Perceptual,Figure 2,which category the stimulus matched (people),,0.69,3,1,ROI,Single Trial Single-Time Point,neural-net,0,3T,3.75mmx3.75x4mm,unsmooth,coregistered,Movement Correction,Normalized Temporally,10,,,,BA,"8, 11, 44, 46",,,,,,atlas comparison,"BA8, BA11, BA44, BA46_",,,,
